ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
1.507477,-0.174683,9.67897,1.483557,-0.596559,9.67541,0.005295,0.420204,0.138294,0.019119,0.83728,1.163696,123.0,-21.1212,23.2605,-33.2031,39.8316,3.0197,-10.5415,8.0,947.3979,21.3784,36.048306,-115.131096,603.0,NaN,-0.06947998,0.0,13.936001,,15 / 23,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,32,42,047,27,08,02,229,,23,02,253,,26,02,154,*79::$GNVTG,,T,,M,0.0,N,0.0,K,A*3D::$GNRMC,193340.00,A,3602.898332,N,11507.865806,W,0.0,,011219,12.3,E,A*2A::$GPRMC,193333.00,A,3602.898328,N,11507.865815,W,0.0,,011219,12.3,E,A*39::$GPGGA,193333.00,3602.898328,N,11507.865815,W,1,00,0.8,621.0,M,-18.0,M,,*5D::$GNGGA,193340.00,3602.898332,N,11507.865806,W,1,12,0.8,622.0,M,-18.0,M,,*4E::$GNGSA,A,3,69,70,71,79,80,85,,,,,,,1.1,0.8,0.8,2*37::$GPGSA,A,1,,,,,,,,,,,,,1.1,0.8,0.8,1*2D::$GAGSV,1,1,0,*74::$GLGSV,3,3,09,87,01,343,*56::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",31,2019-12-01 11:33:40:105
0.138779,0.397202,10.305893,0.134258,-0.598661,9.787438,-0.19251,1.049285,0.594744,0.364868,1.306427,0.82283,123.0,-15.4099,24.0723,-34.6725,29.1266,4.0169,-4.943,8.0,947.399,21.3784,36.048306,-115.131096,603.0,NaN,-0.07899783,0.0,13.936001,,15 / 23,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,32,42,047,28,08,02,229,,23,02,253,,26,02,154,*76::$GNVTG,,T,,M,0.0,N,0.0,K,A*3D::$GNRMC,193341.00,A,3602.898332,N,11507.865804,W,0.0,,011219,12.3,E,A*29::$GPRMC,193333.00,A,3602.898328,N,11507.865815,W,0.0,,011219,12.3,E,A*39::$GPGGA,193333.00,3602.898328,N,11507.865815,W,1,00,0.8,621.0,M,-18.0,M,,*5D::$GNGGA,193341.00,3602.898332,N,11507.865804,W,1,12,0.8,622.0,M,-18.0,M,,*4D::$GNGSA,A,3,69,70,71,79,80,85,,,,,,,1.1,0.8,0.8,2*37::$GPGSA,A,1,,,,,,,,,,,,,1.1,0.8,0.8,1*2D::$GAGSV,1,1,0,*74::$GLGSV,3,3,09,87,01,343,*56::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",131,2019-12-01 11:33:40:205
-0.495316,0.509674,10.415955,-0.872157,-0.077501,9.767483,0.271504,0.713877,0.566052,0.648315,1.230667,0.094681,132.0,-9.7443,22.8622,-37.6007,29.6782,0.965,4.1886,8.0,947.399,21.3784,36.048306,-115.131096,603.0,NaN,-0.07899783,0.0,13.936001,,15 / 23,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,32,42,047,28,08,02,229,,23,02,253,,26,02,154,*76::$GNVTG,,T,,M,0.0,N,0.0,K,A*3D::$GNRMC,193341.00,A,3602.898332,N,11507.865804,W,0.0,,011219,12.3,E,A*29::$GPRMC,193333.00,A,3602.898328,N,11507.865815,W,0.0,,011219,12.3,E,A*39::$GPGGA,193333.00,3602.898328,N,11507.865815,W,1,00,0.8,621.0,M,-18.0,M,,*5D::$GNGGA,193341.00,3602.898332,N,11507.865804,W,1,12,0.8,622.0,M,-18.0,M,,*4D::$GNGSA,A,3,69,70,71,79,80,85,,,,,,,1.1,0.8,0.8,2*37::$GPGSA,A,1,,,,,,,,,,,,,1.1,0.8,0.8,1*2D::$GAGSV,1,1,0,*74::$GLGSV,3,3,09,87,01,343,*56::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",231,2019-12-01 11:33:40:305
-1.095917,1.17009,9.63829,-2.237408,0.410126,9.539193,1.24357,0.722191,0.312867,0.637314,1.486008,-0.282822,132.0,-4.7928,21.6354,-40.5319,30.8748,-1.4412,10.1665,8.0,947.399,21.90938,36.048306,-115.131096,603.0,NaN,-0.07899783,0.0,13.936001,,15 / 23,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,32,42,047,28,08,02,229,,23,02,253,,26,02,154,*76::$GNVTG,,T,,M,0.0,N,0.0,K,A*3D::$GNRMC,193341.00,A,3602.898332,N,11507.865804,W,0.0,,011219,12.3,E,A*29::$GPRMC,193333.00,A,3602.898328,N,11507.865815,W,0.0,,011219,12.3,E,A*39::$GPGGA,193333.00,3602.898328,N,11507.865815,W,1,00,0.8,621.0,M,-18.0,M,,*5D::$GNGGA,193341.00,3602.898332,N,11507.865804,W,1,12,0.8,622.0,M,-18.0,M,,*4D::$GNGSA,A,3,69,70,71,79,80,85,,,,,,,1.1,0.8,0.8,2*37::$GPGSA,A,1,,,,,,,,,,,,,1.1,0.8,0.8,1*2D::$GAGSV,1,1,0,*74::$GLGSV,3,3,09,87,01,343,*56::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",331,2019-12-01 11:33:40:405
-3.51506,0.708283,8.580658,-3.894709,1.107555,8.931683,0.403487,-0.417416,-0.068339,1.117462,1.867203,-0.04213,163.0,3.627,16.4246,-41.9662,31.3181,-5.4291,21.4932,8.0,947.4054,21.90938,36.048306,-115.131096,603.0,NaN,-0.1327739,0.0,13.936001,,15 / 23,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,32,42,047,28,08,02,229,,23,02,253,,26,02,154,*76::$GNVTG,,T,,M,0.0,N,0.0,K,A*3D::$GNRMC,193341.00,A,3602.898332,N,11507.865804,W,0.0,,011219,12.3,E,A*29::$GPRMC,193333.00,A,3602.898328,N,11507.865815,W,0.0,,011219,12.3,E,A*39::$GPGGA,193333.00,3602.898328,N,11507.865815,W,1,00,0.8,621.0,M,-18.0,M,,*5D::$GNGGA,193341.00,3602.898332,N,11507.865804,W,1,12,0.8,622.0,M,-18.0,M,,*4D::$GNGSA,A,3,69,70,71,79,80,85,,,,,,,1.1,0.8,0.8,2*37::$GPGSA,A,1,,,,,,,,,,,,,1.1,0.8,0.8,1*2D::$GAGSV,1,1,0,*74::$GLGSV,3,3,09,87,01,343,*56::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",432,2019-12-01 11:33:40:506
-2.933594,0.772888,10.58345,-4.226592,1.509048,8.719465,1.612013,-0.692175,1.599953,0.362412,-0.400314,-0.299911,163.0,4.274,13.7375,-42.6865,37.079,-8.8518,25.8609,8.0,947.4054,21.90938,36.048306,-115.131096,603.0,NaN,-0.1327739,0.0,13.936001,,15 / 23,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,32,42,047,28,08,02,229,,23,02,253,,26,02,154,*76::$GNVTG,,T,,M,0.0,N,0.0,K,A*3D::$GNRMC,193341.00,A,3602.898332,N,11507.865804,W,0.0,,011219,12.3,E,A*29::$GPRMC,193333.00,A,3602.898328,N,11507.865815,W,0.0,,011219,12.3,E,A*39::$GPGGA,193333.00,3602.898328,N,11507.865815,W,1,00,0.8,621.0,M,-18.0,M,,*5D::$GNGGA,193341.00,3602.898332,N,11507.865804,W,1,12,0.8,622.0,M,-18.0,M,,*4D::$GNGSA,A,3,69,70,71,79,80,85,,,,,,,1.1,0.8,0.8,2*37::$GPGSA,A,1,,,,,,,,,,,,,1.1,0.8,0.8,1*2D::$GAGSV,1,1,0,*74::$GLGSV,3,3,09,87,01,343,*56::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",532,2019-12-01 11:33:40:606
-2.517242,2.866608,8.970688,-4.063237,2.21468,8.646136,1.58743,0.639219,-0.043901,0.704514,-0.725296,-0.705521,199.0,3.4805,10.3592,-46.3425,38.8881,-12.3282,25.9866,8.0,947.4054,22.20751,36.048306,-115.131096,603.0,NaN,-0.1327739,0.0,13.936001,,15 / 23,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,32,42,047,28,08,02,229,,23,02,253,,26,02,154,*76::$GNVTG,,T,,M,0.0,N,0.0,K,A*3D::$GNRMC,193341.00,A,3602.898332,N,11507.865804,W,0.0,,011219,12.3,E,A*29::$GPRMC,193333.00,A,3602.898328,N,11507.865815,W,0.0,,011219,12.3,E,A*39::$GPGGA,193333.00,3602.898328,N,11507.865815,W,1,00,0.8,621.0,M,-18.0,M,,*5D::$GNGGA,193341.00,3602.898332,N,11507.865804,W,1,12,0.8,622.0,M,-18.0,M,,*4D::$GNGSA,A,3,69,70,71,79,80,85,,,,,,,1.1,0.8,0.8,2*37::$GPGSA,A,1,,,,,,,,,,,,,1.1,0.8,0.8,1*2D::$GAGSV,1,1,0,*74::$GLGSV,3,3,09,87,01,343,*56::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",631,2019-12-01 11:33:40:705
-2.388031,2.533997,8.800797,-3.379717,2.632972,8.821301,0.966276,-0.033439,-0.094353,0.760712,-0.830368,-1.079376,199.0,-3.0579,4.7943,-44.1132,49.9999,-15.5743,20.9634,8.0,947.4049,22.20751,36.048306,-115.131096,603.0,NaN,-0.12849085,0.0,13.936001,,15 / 23,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,32,42,047,28,08,02,229,,23,02,253,,26,02,154,*76::$GNVTG,,T,,M,0.0,N,0.0,K,A*3D::$GNRMC,193341.00,A,3602.898332,N,11507.865804,W,0.0,,011219,12.3,E,A*29::$GPRMC,193333.00,A,3602.898328,N,11507.865815,W,0.0,,011219,12.3,E,A*39::$GPGGA,193333.00,3602.898328,N,11507.865815,W,1,00,0.8,621.0,M,-18.0,M,,*5D::$GNGGA,193341.00,3602.898332,N,11507.865804,W,1,12,0.8,622.0,M,-18.0,M,,*4D::$GNGSA,A,3,69,70,71,79,80,85,,,,,,,1.1,0.8,0.8,2*37::$GPGSA,A,1,,,,,,,,,,,,,1.1,0.8,0.8,1*2D::$GAGSV,1,1,0,*74::$GLGSV,3,3,09,87,01,343,*56::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",732,2019-12-01 11:33:40:806
-3.507873,2.344971,7.74318,-3.648242,2.779035,8.6682,0.364564,-0.451357,-0.890111,0.622665,0.399902,-1.079376,194.0,-0.2258,4.1916,-46.3119,52.924,-16.2204,22.2101,8.0,947.4093,22.20751,36.048306,-115.131096,603.0,NaN,-0.1656108,0.0,13.936001,,15 / 23,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,32,42,047,28,08,02,229,,23,02,253,,26,02,154,*76::$GNVTG,,T,,M,0.0,N,0.0,K,A*3D::$GNRMC,193341.00,A,3602.898332,N,11507.865804,W,0.0,,011219,12.3,E,A*29::$GPRMC,193333.00,A,3602.898328,N,11507.865815,W,0.0,,011219,12.3,E,A*39::$GPGGA,193333.00,3602.898328,N,11507.865815,W,1,00,0.8,621.0,M,-18.0,M,,*5D::$GNGGA,193341.00,3602.898332,N,11507.865804,W,1,12,0.8,622.0,M,-18.0,M,,*4D::$GNGSA,A,3,69,70,71,79,80,85,,,,,,,1.1,0.8,0.8,2*37::$GPGSA,A,1,,,,,,,,,,,,,1.1,0.8,0.8,1*2D::$GAGSV,1,1,0,*74::$GLGSV,3,3,09,87,01,343,*56::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",831,2019-12-01 11:33:40:905
-4.469787,3.029312,8.106888,-4.159276,3.008006,8.355998,-0.330929,0.003249,-0.217503,0.414948,0.535507,-0.825272,194.0,-3.9124,-1.3031,-44.8166,65.3238,-17.8623,26.4623,8.0,947.4093,22.20751,36.048306,-115.131096,603.0,NaN,-0.1656108,0.0,13.936001,,15 / 23,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,32,42,047,28,08,02,229,,23,02,253,,26,02,154,*76::$GNVTG,,T,,M,0.0,N,0.0,K,A*3D::$GNRMC,193341.00,A,3602.898332,N,11507.865804,W,0.0,,011219,12.3,E,A*29::$GPRMC,193333.00,A,3602.898328,N,11507.865815,W,0.0,,011219,12.3,E,A*39::$GPGGA,193333.00,3602.898328,N,11507.865815,W,1,00,0.8,621.0,M,-18.0,M,,*5D::$GNGGA,193341.00,3602.898332,N,11507.865804,W,1,12,0.8,622.0,M,-18.0,M,,*4D::$GNGSA,A,3,69,70,71,79,80,85,,,,,,,1.1,0.8,0.8,2*37::$GPGSA,A,1,,,,,,,,,,,,,1.1,0.8,0.8,1*2D::$GAGSV,1,1,0,*74::$GLGSV,3,3,09,87,01,343,*56::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",932,2019-12-01 11:33:41:006
-2.895309,3.237488,8.382065,-4.335095,3.176736,8.202785,2.147656,0.388255,-0.078145,0.726501,-0.212173,-1.252884,237.0,-0.3998,-3.2608,-43.3334,64.639,-18.8394,27.654,8.0,947.4041,22.74227,36.048306,-115.131096,603.0,NaN,-0.1218283,0.0,13.936001,,15 / 23,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,32,42,047,28,08,02,229,,23,02,253,,26,02,154,*76::$GNVTG,,T,,M,0.0,N,0.0,K,A*3D::$GNRMC,193341.00,A,3602.898332,N,11507.865804,W,0.0,,011219,12.3,E,A*29::$GPRMC,193333.00,A,3602.898328,N,11507.865815,W,0.0,,011219,12.3,E,A*39::$GPGGA,193333.00,3602.898328,N,11507.865815,W,1,00,0.8,621.0,M,-18.0,M,,*5D::$GNGGA,193341.00,3602.898332,N,11507.865804,W,1,12,0.8,622.0,M,-18.0,M,,*4D::$GNGSA,A,3,69,70,71,79,80,85,,,,,,,1.1,0.8,0.8,2*37::$GPGSA,A,1,,,,,,,,,,,,,1.1,0.8,0.8,1*2D::$GAGSV,1,1,0,*74::$GLGSV,3,3,09,87,01,343,*56::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",1031,2019-12-01 11:33:41:105
-2.979065,3.335602,8.707489,-4.306671,2.98763,8.288368,1.067545,0.421683,0.680892,0.49437,-0.660538,-1.86618,237.0,-1.1749,-5.9708,-45.5231,75.1989,-18.1466,27.7137,8.0,947.4041,22.74227,36.048306,-115.131096,603.0,NaN,-0.1218283,0.0,13.936001,,15 / 23,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,32,42,047,29,08,02,229,,23,02,253,,26,02,154,*77::$GNVTG,,T,,M,0.0,N,0.0,K,A*3D::$GNRMC,193342.00,A,3602.898331,N,11507.865809,W,0.0,,011219,12.3,E,A*24::$GPRMC,193333.00,A,3602.898328,N,11507.865815,W,0.0,,011219,12.3,E,A*39::$GPGGA,193333.00,3602.898328,N,11507.865815,W,1,00,0.8,621.0,M,-18.0,M,,*5D::$GNGGA,193342.00,3602.898331,N,11507.865809,W,1,12,0.8,622.0,M,-18.0,M,,*40::$GNGSA,A,3,69,70,71,79,80,85,,,,,,,1.1,0.8,0.8,2*37::$GPGSA,A,1,,,,,,,,,,,,,1.1,0.8,0.8,1*2D::$GAGSV,1,1,0,*74::$GLGSV,3,3,09,87,01,343,*56::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",1131,2019-12-01 11:33:41:205
-3.378662,1.706085,8.066208,-3.920281,2.481431,8.639692,0.478019,-0.736126,-0.427167,0.488266,-1.523086,-2.208267,196.0,-4.7836,-8.0872,-44.046,90.8376,-15.3513,25.7612,8.0,947.3987,22.74227,36.048306,-115.131096,603.0,NaN,-0.076142475,0.0,13.936001,,15 / 23,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,32,42,047,29,08,02,229,,23,02,253,,26,02,154,*77::$GNVTG,,T,,M,0.0,N,0.0,K,A*3D::$GNRMC,193342.00,A,3602.898331,N,11507.865809,W,0.0,,011219,12.3,E,A*24::$GPRMC,193333.00,A,3602.898328,N,11507.865815,W,0.0,,011219,12.3,E,A*39::$GPGGA,193333.00,3602.898328,N,11507.865815,W,1,00,0.8,621.0,M,-18.0,M,,*5D::$GNGGA,193342.00,3602.898331,N,11507.865809,W,1,12,0.8,622.0,M,-18.0,M,,*40::$GNGSA,A,3,69,70,71,79,80,85,,,,,,,1.1,0.8,0.8,2*37::$GPGSA,A,1,,,,,,,,,,,,,1.1,0.8,0.8,1*2D::$GAGSV,1,1,0,*74::$GLGSV,3,3,09,87,01,343,*56::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",1231,2019-12-01 11:33:41:305
-2.756531,0.543167,7.14975,-2.963082,1.904263,9.152285,0.492406,-0.844802,-1.673148,-0.491531,-2.416168,-1.548523,196.0,-12.6801,-10.9787,-41.8304,98.5604,-11.1969,17.9395,8.0,947.3954,21.71672,36.048306,-115.131096,603.0,NaN,-0.04854074,0.0,13.936001,,15 / 23,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,32,42,047,29,08,02,229,,23,02,253,,26,02,154,*77::$GNVTG,,T,,M,0.0,N,0.0,K,A*3D::$GNRMC,193342.00,A,3602.898331,N,11507.865809,W,0.0,,011219,12.3,E,A*24::$GPRMC,193333.00,A,3602.898328,N,11507.865815,W,0.0,,011219,12.3,E,A*39::$GPGGA,193333.00,3602.898328,N,11507.865815,W,1,00,0.8,621.0,M,-18.0,M,,*5D::$GNGGA,193342.00,3602.898331,N,11507.865809,W,1,12,0.8,622.0,M,-18.0,M,,*40::$GNGSA,A,3,69,70,71,79,80,85,,,,,,,1.1,0.8,0.8,2*37::$GPGSA,A,1,,,,,,,,,,,,,1.1,0.8,0.8,1*2D::$GAGSV,1,1,0,*74::$GLGSV,3,3,09,87,01,343,*56::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",1331,2019-12-01 11:33:41:405
-0.581451,1.10788,8.59024,-0.909201,1.426227,9.65969,0.15687,-0.180106,-0.789992,-0.342499,-1.734421,-1.238205,158.0,-18.3929,-11.7935,-39.6255,105.0079,-9.0194,8.0625,8.0,947.3954,21.71672,36.048306,-115.131096,603.0,NaN,-0.04854074,0.0,13.936001,,15 / 23,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,32,42,047,29,08,02,229,,23,02,253,,26,02,154,*77::$GNVTG,,T,,M,0.0,N,0.0,K,A*3D::$GNRMC,193342.00,A,3602.898331,N,11507.865809,W,0.0,,011219,12.3,E,A*24::$GPRMC,193333.00,A,3602.898328,N,11507.865815,W,0.0,,011219,12.3,E,A*39::$GPGGA,193333.00,3602.898328,N,11507.865815,W,1,00,0.8,621.0,M,-18.0,M,,*5D::$GNGGA,193342.00,3602.898331,N,11507.865809,W,1,12,0.8,622.0,M,-18.0,M,,*40::$GNGSA,A,3,69,70,71,79,80,85,,,,,,,1.1,0.8,0.8,2*37::$GPGSA,A,1,,,,,,,,,,,,,1.1,0.8,0.8,1*2D::$GAGSV,1,1,0,*74::$GLGSV,3,3,09,87,01,343,*56::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",1431,2019-12-01 11:33:41:505
1.040878,1.584045,10.107285,0.731214,1.3466,9.686195,0.783578,0.167964,-0.360505,0.074097,-2.074066,-1.058609,158.0,-23.4741,-15.9698,-38.1378,116.4449,-7.8346,-2.7274,8.0,947.3932,21.71672,36.048306,-115.131096,603.0,NaN,-0.029981012,0.0,13.936001,,15 / 23,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,32,42,047,29,08,02,229,,23,02,253,,26,02,154,*77::$GNVTG,,T,,M,0.0,N,0.0,K,A*3D::$GNRMC,193342.00,A,3602.898331,N,11507.865809,W,0.0,,011219,12.3,E,A*24::$GPRMC,193333.00,A,3602.898328,N,11507.865815,W,0.0,,011219,12.3,E,A*39::$GPGGA,193333.00,3602.898328,N,11507.865815,W,1,00,0.8,621.0,M,-18.0,M,,*5D::$GNGGA,193342.00,3602.898331,N,11507.865809,W,1,12,0.8,622.0,M,-18.0,M,,*40::$GNGSA,A,3,69,70,71,79,80,85,,,,,,,1.1,0.8,0.8,2*37::$GPGSA,A,1,,,,,,,,,,,,,1.1,0.8,0.8,1*2D::$GAGSV,1,1,0,*74::$GLGSV,3,3,09,87,01,343,*56::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",1531,2019-12-01 11:33:41:605
1.686935,1.935791,11.121841,2.089038,1.587979,9.449054,-0.438744,0.034696,1.281232,0.228027,-1.211533,-0.249817,153.0,-28.4561,-16.1072,-32.9971,110.3739,-9.2124,-11.0267,8.0,947.3932,23.40593,36.048306,-115.131096,603.0,NaN,-0.029981012,0.0,13.936001,,15 / 23,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,32,42,047,29,08,02,229,,23,02,253,,26,02,154,*77::$GNVTG,,T,,M,0.0,N,0.0,K,A*3D::$GNRMC,193342.00,A,3602.898331,N,11507.865809,W,0.0,,011219,12.3,E,A*24::$GPRMC,193333.00,A,3602.898328,N,11507.865815,W,0.0,,011219,12.3,E,A*39::$GPGGA,193333.00,3602.898328,N,11507.865815,W,1,00,0.8,621.0,M,-18.0,M,,*5D::$GNGGA,193342.00,3602.898331,N,11507.865809,W,1,12,0.8,622.0,M,-18.0,M,,*40::$GNGSA,A,3,69,70,71,79,80,85,,,,,,,1.1,0.8,0.8,2*37::$GPGSA,A,1,,,,,,,,,,,,,1.1,0.8,0.8,1*2D::$GAGSV,1,1,0,*74::$GLGSV,3,3,09,87,01,343,*56::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",1631,2019-12-01 11:33:41:705
2.553146,2.495712,11.641083,3.425151,2.044683,8.958683,-0.956599,0.549937,2.843852,0.440628,-1.35936,-0.136215,153.0,-32.0801,-18.9056,-30.0461,118.3736,-12.0344,-20.9232,8.0,947.4014,23.40593,36.048306,-115.131096,603.0,NaN,-0.09946125,0.0,13.936001,,15 / 23,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,32,42,047,29,08,02,229,,23,02,253,,26,02,154,*77::$GNVTG,,T,,M,0.0,N,0.0,K,A*3D::$GNRMC,193342.00,A,3602.898331,N,11507.865809,W,0.0,,011219,12.3,E,A*24::$GPRMC,193333.00,A,3602.898328,N,11507.865815,W,0.0,,011219,12.3,E,A*39::$GPGGA,193333.00,3602.898328,N,11507.865815,W,1,00,0.8,621.0,M,-18.0,M,,*5D::$GNGGA,193342.00,3602.898331,N,11507.865809,W,1,12,0.8,622.0,M,-18.0,M,,*40::$GNGSA,A,3,69,70,71,79,80,85,,,,,,,1.1,0.8,0.8,2*37::$GPGSA,A,1,,,,,,,,,,,,,1.1,0.8,0.8,1*2D::$GAGSV,1,1,0,*74::$GLGSV,3,3,09,87,01,343,*56::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",1731,2019-12-01 11:33:41:805
3.876373,2.672791,8.578262,4.632819,2.81588,8.171793,-0.654201,-0.066279,0.453299,0.979401,-1.637909,0.181427,151.0,-34.2606,-21.019,-22.6913,115.7518,-15.9938,-28.034,8.0,947.4062,23.40593,36.048306,-115.131096,603.0,NaN,-0.13943645,0.0,13.936001,,15 / 23,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,32,42,047,29,08,02,229,,23,02,253,,26,02,154,*77::$GNVTG,,T,,M,0.0,N,0.0,K,A*3D::$GNRMC,193342.00,A,3602.898331,N,11507.865809,W,0.0,,011219,12.3,E,A*24::$GPRMC,193333.00,A,3602.898328,N,11507.865815,W,0.0,,011219,12.3,E,A*39::$GPGGA,193333.00,3602.898328,N,11507.865815,W,1,00,0.8,621.0,M,-18.0,M,,*5D::$GNGGA,193342.00,3602.898331,N,11507.865809,W,1,12,0.8,622.0,M,-18.0,M,,*40::$GNGSA,A,3,69,70,71,79,80,85,,,,,,,1.1,0.8,0.8,2*37::$GPGSA,A,1,,,,,,,,,,,,,1.1,0.8,0.8,1*2D::$GAGSV,1,1,0,*74::$GLGSV,3,3,09,87,01,343,*56::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",1831,2019-12-01 11:33:41:905
5.13739,3.689728,5.058426,5.875952,3.956982,6.78129,-0.857975,-0.355267,-1.732248,1.890808,-1.802841,0.579712,151.0,-39.9689,-21.8689,-13.1393,105.8551,-22.9449,-38.8875,8.0,947.4062,22.30696,36.048306,-115.131096,603.0,NaN,-0.13943645,0.0,13.936001,,15 / 23,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,32,42,047,29,08,02,229,,23,02,253,,26,02,154,*77::$GNVTG,,T,,M,0.0,N,0.0,K,A*3D::$GNRMC,193342.00,A,3602.898331,N,11507.865809,W,0.0,,011219,12.3,E,A*24::$GPRMC,193333.00,A,3602.898328,N,11507.865815,W,0.0,,011219,12.3,E,A*39::$GPGGA,193333.00,3602.898328,N,11507.865815,W,1,00,0.8,621.0,M,-18.0,M,,*5D::$GNGGA,193342.00,3602.898331,N,11507.865809,W,1,12,0.8,622.0,M,-18.0,M,,*40::$GNGSA,A,3,69,70,71,79,80,85,,,,,,,1.1,0.8,0.8,2*37::$GPGSA,A,1,,,,,,,,,,,,,1.1,0.8,0.8,1*2D::$GAGSV,1,1,0,*74::$GLGSV,3,3,09,87,01,343,*56::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",1931,2019-12-01 11:33:42:005
6.592224,4.74736,5.268997,6.820092,4.349635,5.544133,0.012991,0.402394,-0.046814,2.000763,-0.799805,0.940125,152.0,-41.3589,-20.5765,-7.2678,97.3934,-25.6938,-48.9703,8.0,947.404,22.30696,36.048306,-115.131096,603.0,NaN,-0.12087651,0.0,13.936001,,15 / 23,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,12,32,42,047,29,08,02,229,,23,02,253,,26,02,154,*77::$GNVTG,,T,,M,0.0,N,0.0,K,A*3D::$GNRMC,193342.00,A,3602.898331,N,11507.865809,W,0.0,,011219,12.3,E,A*24::$GPRMC,193333.00,A,3602.898328,N,11507.865815,W,0.0,,011219,12.3,E,A*39::$GPGGA,193333.00,3602.898328,N,11507.865815,W,1,00,0.8,621.0,M,-18.0,M,,*5D::$GNGGA,193342.00,3602.898331,N,11507.865809,W,1,12,0.8,622.0,M,-18.0,M,,*40::$GNGSA,A,3,69,70,71,79,80,85,,,,,,,1.1,0.8,0.8,2*37::$GPGSA,A,1,,,,,,,,,,,,,1.1,0.8,0.8,1*2D::$GAGSV,1,1,0,*74::$GLGSV,3,3,09,87,01,343,*56::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",2031,2019-12-01 11:33:42:105
